construction heuristic,flip fct,step fct,network name,n,m,k,k-index,edge connectivity,initial max-flow,best max-flow,first interdiction max-flow,best search max-flow,delta cost calculations,flips,non-improving flips,tabu-searches in k,tabu-searches in G,list of max-flows,probability p
rand,rand,prob,Small.100.10.2.1.gexf,100,1000,2,1,10,10.0,8.0,10.0,8.0,2234,134,114,0,0,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 10.0, 9.0, 9.0, 8.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 10.0, 10.0, 10.0, 9.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 10.0, 9.0, 9.0, 8.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 10.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 10.0, 9.0, 9.0, 9.0, 10.0, 9.0, 9.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 8.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 10.0, 10.0, 10.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",0.05
rand,rand,prob,Small.100.10.2.1.gexf,100,1000,3,2,10,10.0,8.0,10.0,8.0,2297,122,100,0,0,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 10.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 10.0, 9.0, 9.0, 8.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 8.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 9.0, 8.0, 9.0, 10.0, 10.0, 10.0, 9.0, 8.0, 9.0, 10.0, 10.0, 10.0, 9.0, 8.0, 8.0, 9.0, 10.0, 10.0, 9.0, 9.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 9.0, 10.0, 9.0, 9.0, 10.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",0.05
rand,rand,prob,Small.100.10.2.1.gexf,100,1000,5,3,10,10.0,6.0,9.0,6.0,2234,124,111,0,0,"[10.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0, 8.0, 9.0, 8.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 7.0, 7.0, 6.0, 7.0, 8.0, 8.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 10.0, 9.0, 9.0, 9.0, 8.0, 8.0, 8.0, 8.0, 9.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]",0.05
rand,rand,prob,Small.100.10.2.1.gexf,100,F,10,4,10,F,F,F,F,F,F,F,F,F,F,0.05
rand,rand,prob,Small.100.10.5.1.gexf,100,1000,2,1,9,9.0,7.0,9.0,7.0,2137,123,106,0,0,"[9.0, 9.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0, 9.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0, 8.0, 8.0, 8.0, 9.0, 9.0, 8.0, 8.0, 9.0, 9.0, 8.0, 9.0, 8.0, 8.0, 9.0, 9.0, 9.0, 8.0, 9.0, 8.0, 7.0, 8.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0, 9.0, 9.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0, 9.0, 9.0]",0.05
rand,rand,prob,Small.100.10.5.1.gexf,100,1000,3,2,9,9.0,7.0,9.0,7.0,2124,130,115,0,0,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 9.0, 8.0, 8.0, 8.0, 8.0, 8.0, 9.0, 9.0, 9.0, 8.0, 8.0, 8.0, 7.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0, 9.0, 9.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0, 9.0, 9.0, 9.0, 8.0, 8.0, 8.0, 8.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0]",0.05
rand,rand,prob,Small.100.10.5.1.gexf,100,1000,5,3,9,9.0,5.0,8.0,5.0,2107,112,97,0,0,"[9.0, 8.0, 8.0, 7.0, 7.0, 7.0, 8.0, 8.0, 7.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 7.0, 7.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 7.0, 7.0, 6.0, 7.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 7.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 7.0, 8.0, 7.0, 6.0, 7.0, 6.0, 5.0, 5.0, 5.0, 6.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 7.0, 6.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 7.0, 7.0, 7.0, 7.0, 7.0]",0.05
rand,rand,prob,Small.100.10.5.1.gexf,100,F,10,4,9,F,F,F,F,F,F,F,F,F,F,0.05
rand,rand,prob,R-MAT.100.5.1.gexf,100,419,2,1,11,15.0,11.0,15.0,11.0,3708,257,167,0,0,"[15.0, 15.0, 15.0, 15.0, 15.0, 14.0, 14.0, 14.0, 12.0, 13.0, 12.0, 14.0, 15.0, 14.0, 15.0, 15.0, 15.0, 13.0, 12.0, 11.0, 13.0, 15.0, 15.0, 14.0, 13.0, 13.0, 15.0, 14.0, 14.0, 13.0, 12.0, 14.0, 14.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 14.0, 14.0, 15.0, 14.0, 15.0, 13.0, 12.0, 14.0, 14.0, 15.0, 15.0, 13.0, 13.0, 15.0, 14.0, 14.0, 14.0, 12.0, 13.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 14.0, 15.0, 14.0, 15.0, 14.0, 13.0, 14.0, 15.0, 15.0, 15.0, 15.0, 13.0, 15.0, 15.0, 15.0, 15.0, 15.0, 13.0, 13.0, 12.0, 13.0, 13.0, 13.0, 13.0, 13.0, 12.0, 14.0, 13.0, 12.0, 13.0, 15.0, 14.0, 14.0, 14.0, 14.0, 13.0, 14.0, 13.0, 14.0, 13.0, 14.0, 15.0, 15.0, 14.0, 13.0, 14.0, 12.0, 13.0, 12.0, 13.0, 12.0, 13.0, 15.0, 15.0, 14.0, 13.0, 12.0, 14.0, 13.0, 14.0, 14.0, 14.0, 15.0, 13.0, 12.0, 14.0, 14.0, 15.0, 13.0, 13.0, 15.0, 15.0, 15.0, 13.0, 13.0, 13.0, 15.0, 15.0, 14.0, 13.0, 13.0, 15.0, 15.0, 13.0, 11.0, 13.0, 13.0, 13.0, 13.0, 15.0, 13.0, 12.0, 13.0, 12.0, 14.0, 15.0, 15.0, 14.0, 13.0, 12.0, 13.0, 15.0, 15.0, 15.0, 15.0, 14.0, 13.0, 14.0, 15.0, 14.0, 12.0, 13.0, 13.0, 15.0, 15.0, 15.0, 14.0, 12.0, 14.0, 13.0, 14.0, 15.0, 14.0, 12.0, 13.0, 13.0, 15.0, 14.0, 14.0, 14.0, 14.0, 15.0, 15.0, 14.0, 13.0, 12.0, 13.0, 13.0, 13.0, 12.0, 14.0, 15.0, 14.0, 15.0, 14.0, 15.0, 14.0, 14.0, 14.0, 15.0, 14.0, 14.0, 13.0, 15.0, 14.0, 15.0, 14.0, 13.0, 14.0, 14.0, 13.0, 14.0, 15.0, 15.0, 15.0, 15.0, 13.0, 13.0, 15.0, 15.0, 14.0, 15.0, 14.0, 13.0, 15.0, 14.0, 15.0, 15.0, 14.0, 13.0, 12.0, 13.0, 14.0, 12.0, 13.0, 13.0, 13.0, 15.0, 15.0, 13.0, 15.0, 15.0, 14.0]",0.05
rand,rand,prob,R-MAT.100.5.1.gexf,100,419,3,2,11,15.0,8.0,14.0,8.0,3834,282,201,0,0,"[15.0, 14.0, 14.0, 13.0, 14.0, 12.0, 10.0, 8.0, 10.0, 12.0, 14.0, 14.0, 14.0, 13.0, 13.0, 11.0, 10.0, 12.0, 11.0, 11.0, 12.0, 12.0, 12.0, 11.0, 13.0, 13.0, 11.0, 13.0, 12.0, 11.0, 13.0, 13.0, 11.0, 12.0, 12.0, 14.0, 14.0, 14.0, 14.0, 13.0, 12.0, 13.0, 13.0, 12.0, 12.0, 13.0, 13.0, 13.0, 12.0, 12.0, 12.0, 13.0, 12.0, 13.0, 12.0, 12.0, 12.0, 11.0, 12.0, 13.0, 12.0, 10.0, 11.0, 11.0, 10.0, 12.0, 14.0, 13.0, 13.0, 13.0, 13.0, 13.0, 14.0, 14.0, 14.0, 14.0, 13.0, 13.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 13.0, 13.0, 12.0, 12.0, 12.0, 14.0, 13.0, 12.0, 13.0, 12.0, 12.0, 12.0, 13.0, 13.0, 13.0, 13.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 13.0, 12.0, 12.0, 12.0, 11.0, 13.0, 12.0, 11.0, 13.0, 13.0, 12.0, 12.0, 10.0, 11.0, 10.0, 12.0, 12.0, 12.0, 12.0, 14.0, 14.0, 14.0, 14.0, 13.0, 11.0, 11.0, 13.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 13.0, 13.0, 12.0, 12.0, 10.0, 11.0, 13.0, 12.0, 11.0, 11.0, 10.0, 12.0, 12.0, 12.0, 12.0, 12.0, 12.0, 14.0, 13.0, 13.0, 13.0, 14.0, 14.0, 12.0, 11.0, 12.0, 11.0, 12.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 14.0, 13.0, 11.0, 12.0, 11.0, 11.0, 12.0, 12.0, 12.0, 11.0, 12.0, 12.0, 10.0, 9.0, 10.0, 12.0, 10.0, 12.0, 12.0, 12.0, 11.0, 11.0, 9.0, 11.0, 13.0, 14.0, 13.0, 12.0, 12.0, 11.0, 13.0, 14.0, 13.0, 13.0, 13.0, 12.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 11.0, 13.0, 13.0, 14.0, 14.0, 13.0, 13.0, 14.0, 13.0, 13.0, 13.0, 12.0, 11.0, 12.0, 11.0, 12.0, 13.0, 14.0, 14.0, 14.0, 13.0, 14.0, 12.0, 14.0, 14.0, 14.0, 13.0, 12.0, 13.0, 12.0, 12.0, 12.0, 11.0, 12.0, 12.0, 11.0, 12.0, 11.0, 11.0, 13.0, 13.0, 13.0, 13.0, 12.0, 12.0, 12.0, 12.0, 11.0, 12.0, 12.0, 14.0, 14.0, 14.0, 14.0, 13.0]",0.05
rand,rand,prob,R-MAT.100.5.1.gexf,100,419,5,3,11,15.0,7.0,12.0,7.0,3837,234,168,0,0,"[15.0, 12.0, 11.0, 10.0, 10.0, 10.0, 8.0, 9.0, 7.0, 9.0, 8.0, 8.0, 10.0, 10.0, 10.0, 10.0, 10.0, 8.0, 8.0, 10.0, 10.0, 10.0, 12.0, 12.0, 12.0, 12.0, 10.0, 12.0, 10.0, 9.0, 9.0, 9.0, 9.0, 11.0, 11.0, 12.0, 13.0, 13.0, 13.0, 13.0, 13.0, 12.0, 12.0, 12.0, 11.0, 11.0, 11.0, 10.0, 8.0, 8.0, 7.0, 8.0, 10.0, 10.0, 8.0, 8.0, 9.0, 9.0, 9.0, 9.0, 11.0, 13.0, 12.0, 12.0, 11.0, 11.0, 10.0, 8.0, 10.0, 11.0, 11.0, 12.0, 12.0, 12.0, 11.0, 12.0, 12.0, 11.0, 12.0, 12.0, 11.0, 10.0, 11.0, 11.0, 9.0, 9.0, 8.0, 8.0, 9.0, 10.0, 10.0, 10.0, 9.0, 9.0, 10.0, 10.0, 10.0, 8.0, 7.0, 7.0, 7.0, 9.0, 9.0, 10.0, 10.0, 10.0, 11.0, 11.0, 11.0, 11.0, 13.0, 12.0, 12.0, 11.0, 11.0, 11.0, 11.0, 12.0, 12.0, 11.0, 11.0, 11.0, 12.0, 12.0, 11.0, 11.0, 11.0, 10.0, 8.0, 10.0, 10.0, 10.0, 10.0, 9.0, 7.0, 8.0, 7.0, 7.0, 7.0, 9.0, 11.0, 10.0, 10.0, 11.0, 11.0, 10.0, 10.0, 12.0, 11.0, 10.0, 10.0, 8.0, 9.0, 9.0, 8.0, 9.0, 9.0, 11.0, 12.0, 12.0, 12.0, 12.0, 11.0, 11.0, 11.0, 11.0, 12.0, 10.0, 10.0, 11.0, 13.0, 13.0, 13.0, 11.0, 10.0, 9.0, 10.0, 10.0, 11.0, 13.0, 12.0, 11.0, 11.0, 12.0, 13.0, 13.0, 12.0, 11.0, 11.0, 12.0, 11.0, 11.0, 12.0, 12.0, 12.0, 12.0, 13.0, 12.0, 12.0, 12.0, 12.0, 10.0, 9.0, 10.0, 9.0, 10.0, 10.0, 9.0, 9.0, 9.0, 11.0, 10.0, 10.0, 10.0, 11.0, 11.0, 9.0, 11.0, 11.0, 11.0, 9.0, 8.0, 8.0, 8.0, 10.0, 10.0, 10.0, 8.0, 8.0, 10.0, 12.0, 10.0, 12.0, 12.0, 11.0, 10.0]",0.05
rand,rand,prob,R-MAT.100.5.1.gexf,100,419,10,4,11,15.0,5.0,10.0,5.0,3964,250,198,0,0,"[15.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 9.0, 9.0, 10.0, 10.0, 9.0, 9.0, 9.0, 9.0, 10.0, 9.0, 10.0, 10.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0, 9.0, 9.0, 9.0, 9.0, 8.0, 9.0, 9.0, 9.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.0, 9.0, 7.0, 7.0, 6.0, 6.0, 6.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 5.0, 5.0, 5.0, 7.0, 7.0, 9.0, 10.0, 10.0, 9.0, 8.0, 8.0, 9.0, 9.0, 9.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 6.0, 6.0, 6.0, 8.0, 8.0, 7.0, 7.0, 8.0, 8.0, 8.0, 9.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 8.0, 7.0, 6.0, 6.0, 6.0, 6.0, 6.0, 5.0, 7.0, 7.0, 7.0, 6.0, 8.0, 8.0, 8.0, 8.0, 8.0, 9.0, 9.0, 9.0, 10.0, 10.0, 9.0, 8.0, 7.0, 8.0, 10.0, 9.0, 9.0, 9.0, 9.0, 9.0, 7.0, 7.0, 7.0, 7.0, 6.0, 7.0, 7.0, 7.0, 8.0, 7.0, 7.0, 8.0, 8.0, 8.0, 10.0, 10.0, 10.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0, 8.0, 7.0, 5.0, 6.0, 8.0, 8.0, 9.0, 9.0, 8.0, 9.0, 7.0, 6.0, 5.0, 6.0, 7.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 8.0, 7.0, 7.0, 7.0, 6.0, 6.0, 6.0, 7.0, 5.0, 7.0, 7.0, 6.0, 5.0, 5.0, 6.0, 6.0, 5.0, 7.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 8.0, 6.0, 6.0, 6.0, 6.0, 6.0, 8.0, 8.0, 8.0, 6.0, 7.0, 9.0, 7.0, 7.0, 7.0, 7.0, 9.0, 7.0, 6.0, 6.0, 8.0, 8.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0, 8.0, 7.0, 7.0, 7.0, 6.0, 7.0, 7.0, 8.0, 9.0, 10.0, 10.0, 10.0, 9.0, 8.0, 7.0, 7.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]",0.05
rand,rand,prob,R-MAT.100.25.1.gexf,100,1423,2,1,35,103.0,90.0,103.0,90.0,1292,87,60,0,0,"[103.0, 103.0, 103.0, 103.0, 96.0, 96.0, 90.0, 103.0, 101.0, 101.0, 101.0, 101.0, 103.0, 103.0, 103.0, 103.0, 102.0, 102.0, 103.0, 103.0, 103.0, 102.0, 103.0, 102.0, 96.0, 96.0, 96.0, 103.0, 103.0, 103.0, 102.0, 103.0, 103.0, 103.0, 103.0, 103.0, 101.0, 100.0, 99.0, 101.0, 100.0, 102.0, 102.0, 103.0, 102.0, 102.0, 99.0, 99.0, 98.0, 102.0, 100.0, 102.0, 101.0, 103.0, 103.0, 102.0, 98.0, 99.0, 99.0, 99.0, 103.0, 102.0, 103.0, 103.0, 103.0, 103.0, 103.0, 101.0, 100.0, 102.0, 102.0, 103.0, 103.0, 103.0, 103.0, 103.0, 103.0, 103.0, 103.0, 103.0, 102.0, 99.0, 100.0, 103.0, 99.0, 99.0, 97.0, 99.0, 95.0]",0.05
rand,rand,prob,R-MAT.100.25.1.gexf,100,1423,3,2,35,103.0,78.0,95.0,78.0,1322,90,59,0,0,"[103.0, 95.0, 91.0, 87.0, 78.0, 91.0, 95.0, 95.0, 95.0, 94.0, 94.0, 94.0, 93.0, 93.0, 92.0, 93.0, 94.0, 94.0, 93.0, 94.0, 93.0, 88.0, 87.0, 87.0, 87.0, 94.0, 94.0, 93.0, 94.0, 88.0, 88.0, 95.0, 93.0, 88.0, 95.0, 95.0, 95.0, 88.0, 95.0, 93.0, 93.0, 93.0, 95.0, 94.0, 93.0, 80.0, 93.0, 81.0, 82.0, 81.0, 80.0, 93.0, 94.0, 93.0, 94.0, 95.0, 95.0, 95.0, 92.0, 92.0, 91.0, 92.0, 95.0, 94.0, 94.0, 94.0, 93.0, 93.0, 94.0, 94.0, 94.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 94.0, 93.0, 88.0, 86.0, 93.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0]",0.05
rand,rand,prob,R-MAT.100.25.1.gexf,100,1423,5,3,35,103.0,82.0,95.0,82.0,1307,92,71,0,0,"[103.0, 95.0, 94.0, 94.0, 95.0, 95.0, 95.0, 95.0, 93.0, 92.0, 92.0, 93.0, 86.0, 86.0, 86.0, 84.0, 84.0, 91.0, 91.0, 91.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 95.0, 88.0, 87.0, 88.0, 88.0, 88.0, 88.0, 88.0, 82.0, 82.0, 88.0, 88.0, 87.0, 86.0, 86.0, 87.0, 87.0, 87.0, 87.0, 94.0, 94.0, 94.0, 94.0, 95.0, 95.0, 89.0, 89.0, 95.0, 95.0, 95.0, 95.0, 94.0, 87.0, 87.0, 87.0, 88.0, 88.0, 88.0, 88.0, 88.0, 86.0, 82.0, 82.0, 86.0, 86.0, 86.0, 84.0, 84.0, 84.0, 86.0, 86.0, 86.0, 86.0, 85.0, 84.0, 83.0, 83.0, 90.0, 91.0, 89.0, 91.0, 84.0, 85.0]",0.05
rand,rand,prob,R-MAT.100.25.1.gexf,100,1423,10,4,35,103.0,65.0,85.0,65.0,1336,102,75,0,0,"[103.0, 85.0, 84.0, 84.0, 85.0, 85.0, 85.0, 84.0, 84.0, 84.0, 84.0, 83.0, 77.0, 83.0, 79.0, 83.0, 83.0, 83.0, 83.0, 82.0, 82.0, 82.0, 82.0, 69.0, 69.0, 68.0, 67.0, 69.0, 69.0, 67.0, 67.0, 80.0, 82.0, 83.0, 83.0, 82.0, 83.0, 83.0, 83.0, 84.0, 84.0, 84.0, 83.0, 83.0, 82.0, 82.0, 83.0, 83.0, 79.0, 79.0, 75.0, 76.0, 76.0, 80.0, 80.0, 80.0, 80.0, 79.0, 79.0, 79.0, 79.0, 79.0, 79.0, 78.0, 79.0, 79.0, 83.0, 83.0, 83.0, 82.0, 82.0, 82.0, 81.0, 80.0, 81.0, 81.0, 81.0, 81.0, 82.0, 82.0, 83.0, 82.0, 82.0, 82.0, 82.0, 81.0, 81.0, 81.0, 79.0, 80.0, 80.0, 80.0, 80.0, 69.0, 68.0, 70.0, 71.0, 71.0, 71.0, 69.0, 69.0, 65.0, 65.0, 65.0]",0.05
rand,rand,prob,Complete.100.1.1.gexf,100,9900,2,1,99,53.038258215691236,52.80308482625236,53.038258215691215,52.80308482625236,202,31,16,0,0,"[53.038258215691236, 53.038258215691215, 53.03825821569126, 53.03825821569124, 53.03825821569124, 53.038258215691236, 53.03825821569124, 53.03825821569122, 53.03825821569124, 53.03825821569124, 53.03825821569123, 53.03825821569125, 53.03825821569124, 53.038258215691236, 53.03825821569123, 53.03825821569125, 53.03825821569124, 53.03825821569124, 53.03825821569125, 53.03825821569122, 53.03825821569124, 53.03825821569124, 53.03825821569123, 53.03825821569125, 53.03825821569124, 52.80308482625238, 52.80308482625236, 53.03825821569125, 53.03825821569124, 53.03825821569124, 53.03825821569125, 53.03825821569123, 53.03825821569124]",0.05
rand,rand,prob,Complete.100.1.1.gexf,100,9900,3,2,99,53.038258215691236,53.0382582156912,53.0382582156912,53.03825821569122,196,18,10,0,0,"[53.038258215691236, 53.0382582156912, 53.03825821569124, 53.03825821569124, 53.038258215691236, 53.03825821569124, 53.03825821569122, 53.03825821569124, 53.03825821569122, 53.03825821569123, 53.03825821569124, 53.03825821569124, 53.038258215691236, 53.03825821569123, 53.03825821569125, 53.03825821569124, 53.038258215691236, 53.038258215691236, 53.03825821569125, 53.038258215691236]",0.05
rand,rand,prob,Complete.100.1.1.gexf,100,9900,5,3,99,53.038258215691236,52.62700066099061,53.03825821569122,52.62700066099061,200,16,9,0,0,"[53.038258215691236, 53.03825821569122, 52.62700066099061, 53.038258215691236, 53.03825821569124, 53.03825821569122, 53.03825821569124, 53.03825821569124, 53.03825821569123, 53.038258215691215, 53.03825821569123, 53.03825821569122, 53.03825821569123, 53.038258215691236, 53.03825821569124, 53.03825821569123, 53.038258215691236, 53.03825821569123]",0.05
rand,rand,prob,Complete.100.1.1.gexf,100,9900,10,4,99,53.038258215691236,52.007346582647806,53.03825821569123,52.007346582647806,197,25,11,0,0,"[53.038258215691236, 53.03825821569123, 53.038258215691236, 52.70637720913373, 52.64592342702475, 52.64592342702474, 52.64592342702475, 52.64592342702474, 52.64592342702474, 52.64592342702475, 52.64592342702474, 52.64592342702475, 52.64592342702474, 52.645923427024734, 52.00734658264782, 52.00734658264781, 52.007346582647806, 52.00734658264783, 52.00734658264782, 52.007346582647834, 52.00734658264783, 52.645923427024755, 52.64592342702475, 52.645923427024755, 52.645923427024755, 52.64592342702476, 52.64592342702473]",0.05
rand,rand,prob,Complete.100.20.1.gexf,100,9900,2,1,99,931,928,931,928,208,11,10,0,0,"[931, 931, 931, 931, 931, 928, 928, 931, 931, 931, 931, 931, 931]",0.05
rand,rand,prob,Complete.100.20.1.gexf,100,9900,3,2,99,931,908,931,908,210,13,11,0,0,"[931, 931, 931, 931, 931, 916, 908, 923, 931, 931, 931, 931, 931, 931, 931]",0.05
rand,rand,prob,Complete.100.20.1.gexf,100,9900,5,3,99,931,931,931,931,205,11,11,0,0,"[931, 931, 931, 931, 931, 931, 931, 931, 931, 931, 931, 931, 931]",0.05
rand,rand,prob,Complete.100.20.1.gexf,100,9900,10,4,99,931,916,931,916,208,13,12,0,0,"[931, 931, 931, 931, 931, 931, 931, 931, 931, 916, 916, 916, 916, 927, 927]",0.05
